Brand,seriesname,Background Template,colorcode,finish,colorname,Color Code + Color Name,,nominalsize_1,nominalsize_2,nominalsize_3,nominalsize_4,nominalsize_5,nominalsize_6,nominalsize_7,nominalsize_8,nominalsize_9,nominalsize_10
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0061,Matte,Matte Designer White,Matte Designer White 0061,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0072,Matte,Matte Sapphire Sky,Matte Sapphire Sky 0072,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,0073,Matte,Matte Tranquility,Matte Tranquility 0073,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,T017,Matte,Storm Gray Speckle,Storm Gray Speckle T017,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,T034,Matte,Balance Speckle,Balance Speckle T034,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,T052,Matte,Stable Speckle,Stable Speckle T052,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Floor,AO_Color Story Floor.jpg,T061,Matte,Designer White Speckle,Designer White Speckle T061,,12X12 Square,12X24 Rectangle,,,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0014,Glossy,Balance,Balance 0014,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0025,Glossy,Ice White,Ice White 0025,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0034,Matte,Matte Balance,Matte Balance 0034,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0049,Glossy,Black,Black 0049,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0052,Matte,Matte Stable,Matte Stable 0052,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0053,Glossy,Dependable,Dependable 0053,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0055,Glossy,Stable,Stable 0055,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0056,Matte,Matte Dependable,Matte Dependable 0056,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0058,Glossy,Restore,Restore 0058,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0061,Matte,Matte Designer White,Matte Designer White 0061,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0064,Matte,Matte Black,Matte Black 0064,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0070,Glossy,Sapphire Sky,Sapphire Sky 0070,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0082,Glossy,Wisdom,Wisdom 0082,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0084,Glossy,Peacock Blue,Peacock Blue 0084,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
American Olean,Color Story Mosaics,AO_Color Story Mosaics.jpg,0117,Glossy,Navy,Navy 0117,,Penny Rounds,1.5 Hexagon,2X2 Straight Joint,2X3 Harlequin,,,,,,
